Profile 1             Profile 2             Profile 3             Profile 4             Profile 5             Profile 6             
x       y           x       y           x       y           x       y           x       y           x       y           
50.136159  729.39898            49.967017  709.88268            50.394616  614.68395            50.674535  737.3702            49.902969  457.02913            50.106543  777.21899            
51.138882  753.00751            50.966357  721.21853            51.402508  705.76857            51.688026  728.09284            50.901028  611.81811            51.108674  742.00964            
52.141605  873.40091            51.965698  725.6815            52.4104  717.18221            52.701516  518.4845            51.899087  707.62287            52.110805  690.85009            
53.144328  779.95768            52.965038  707.62808            53.418293  726.57038            53.715007  520.275            52.897147  533.76349            53.112936  652.33692            
54.147052  555.7227            53.964378  716.31406            54.426185  739.08063            54.728498  557.52469            53.895206  456.93856            54.115067  580.999            
55.149775  526.77899            54.963719  580.3073            55.434077  701.66855            55.741989  530.66892            54.893265  555.62208            55.117197  533.24533            
56.152498  499.02548            55.963059  570.31061            56.44197  701.79295            56.755479  161.62496            55.891325  627.58308            56.119328  470.38699            
57.155221  484.90709            56.962399  436.19765            57.449862  466.56065            57.76897  179.04371            56.889384  596.88093            57.121459  467.82939            
58.157944  452.36435            57.96174  409.55495            58.457754  364.5487            58.782461  226.22174            57.887444  536.07298            58.12359  408.96456            
59.160667  456.94202            58.96108  280.82019            59.465646  208.915            59.795951  209.08559            58.885503  604.30716            59.125721  355.25505            
60.163391  319.06758            59.96042  238.04315            60.473539  154.84089            60.809442  15.029373            59.883562  653.64641            60.127852  208.57814            
61.166114  317.91903            60.959761  313.81851            61.481431  295.18249            61.822933  47.75735            60.881622  499.93847            61.129983  218.77082            
62.168837  209.84957            61.959101  337.26383            62.489323  322.53186            62.836423  249.39746            61.879681  412.54217            62.132114  224.57094            
63.17156  169.74375            62.958441  326.01761            63.497216  474.10031            63.849914  248.9094            62.87774  388.78275            63.134244  252.61623            
64.174283  240.49959            63.957782  310.28526            64.505108  492.81258            64.863405  341.99558            63.8758  384.39688            64.136375  337.86263            
65.177007  253.16675            64.957122  459.76286            65.513  480.70166            65.876896  337.09866            64.873859  260.97357            -          -              
66.17973  236.80388            65.956462  523.63074            66.520893  453.26344            66.890386  367.25151            65.871918  158.48184            -          -              
67.182453  232.57015            66.955803  599.07663            67.528785  536.88303            67.903877  401.16769            -          -              -          -              
68.185176  331.73944            67.955143  637.60412            68.536677  612.12852            68.917368  686.29092            -          -              -          -              
69.187899  388.15423            68.954483  727.51817            69.54457  590.22855            69.930858  649.16419            -          -              -          -              
70.190622  633.4085            69.953824  834.3373            70.552462  572.27717            70.944349  576.3177            -          -              -          -              
71.193346  684.73615            70.953164  760.74625            71.560354  644.56712            71.95784  528.45439            -          -              -          -              
72.196069  563.34702            71.952504  688.42842            72.568247  715.70123            72.97133  286.88278            -          -              -          -              
73.198792  485.42691            72.951845  644.64566            73.576139  599.98031            73.984821  260.40092            -          -              -          -              
74.201515  448.93833            73.951185  583.89335            74.584031  462.1448            74.998312  99.951532            -          -              -          -              
75.204238  455.28573            74.950525  537.24074            75.591924  455.47687            76.011803  129.32068            -          -              -          -              
76.206961  272.36847            75.949866  405.93697            76.599816  403.42994            77.025293  205.20185            -          -              -          -              
77.209685  126.23606            76.949206  351.58773            77.607708  383.45308            78.038784  189.05558            -          -              -          -              
78.212408  160.60761            77.948546  160.0982            78.6156  323.71875            79.052275  145.20603            -          -              -          -              
79.215131  150.19462            78.947887  164.72902            79.623493  302.78658            -          -              -          -              -          -              
80.217854  239.10502            79.947227  101.84997            80.631385  218.38884            -          -              -          -              -          -              
81.220577  336.7326            80.946567  119.33975            81.639277  225.78641            -          -              -          -              -          -              
82.223301  349.52402            81.945908  196.66751            82.64717  309.36948            -          -              -          -              -          -              
83.226024  388.18272            82.945248  250.19399            83.655062  356.49439            -          -              -          -              -          -              
84.228747  408.09936            83.944588  409.32996            84.662954  510.97373            -          -              -          -              -          -              
85.23147  515.81459            84.943929  429.84792            85.670847  492.86276            -          -              -          -              -          -              
86.234193  537.84017            85.943269  632.77415            86.678739  485.07353            -          -              -          -              -          -              
87.236916  592.20113            86.942609  635.9817            87.686631  521.21998            -          -              -          -              -          -              
88.23964  591.79192            87.94195  694.51451            88.694524  653.34321            -          -              -          -              -          -              
89.242363  662.34334            88.94129  688.8352            89.702416  632.46294            -          -              -          -              -          -              
90.245086  651.0664            89.94063  660.88556            90.710308  722.63843            -          -              -          -              -          -              
91.247809  562.62343            90.939971  659.92194            91.718201  735.72936            -          -              -          -              -          -              
92.250532  581.36593            91.939311  532.96651            92.726093  676.37724            -          -              -          -              -          -              
93.253255  596.11212            92.938651  494.48424            93.733985  673.91816            -          -              -          -              -          -              
94.255979  640.97049            93.937992  457.55209            94.741877  513.46067            -          -              -          -              -          -              
95.258702  543.07081            94.937332  471.36614            95.74977  509.50415            -          -              -          -              -          -              
96.261425  563.53218            95.936672  274.83221            96.757662  383.13085            -          -              -          -              -          -              
97.264148  390.29718            96.936013  217.96013            97.765554  374.6853            -          -              -          -              -          -              
98.266871  381.43468            97.935353  201.80404            98.773447  234.61162            -          -              -          -              -          -              
99.269595  290.89974            98.934693  148.56696            99.781339  178.44148            -          -              -          -              -          -              
100.27232  273.60547            99.934034  154.96554            100.78923  183.34643            -          -              -          -              -          -              
101.27504  251.04941            100.93337  149.64348            101.79712  193.23224            -          -              -          -              -          -              
102.27776  230.23746            101.93271  335.3741            102.80502  291.31794            -          -              -          -              -          -              
103.28049  204.65232            102.93205  537.21801            103.81291  365.5394            -          -              -          -              -          -              
104.28321  159.00833            103.9314  475.05712            104.8208  577.64352            -          -              -          -              -          -              
105.28593  366.14004            104.93074  424.31025            105.82869  750.40431            -          -              -          -              -          -              
106.28866  442.08749            105.93008  510.97088            106.83659  764.88519            -          -              -          -              -          -              
107.29138  555.01515            106.92942  631.99789            107.84448  774.51546            -          -              -          -              -          -              
108.2941  631.29754            107.92876  647.91567            108.85237  809.96542            -          -              -          -              -          -              
109.29683  629.8269            108.9281  646.83314            109.86026  848.87654            -          -              -          -              -          -              
110.29955  675.75548            109.92744  650.2414            110.86815  800.35845            -          -              -          -              -          -              
111.30227  661.82631            110.92678  668.94876            111.87605  761.44141            -          -              -          -              -          -              
112.305  611.06256            111.92612  657.30279            112.88394  704.11973            -          -              -          -              -          -              
113.30772  643.30671            112.92546  607.39334            113.89183  615.18109            -          -              -          -              -          -              
114.31044  690.00551            113.9248  563.67906            114.89972  576.24074            -          -              -          -              -          -              
115.31317  600.29479            114.92414  296.92746            115.90762  406.67697            -          -              -          -              -          -              
116.31589  441.7281            115.92348  323.58518            116.91551  388.1954            -          -              -          -              -          -              
117.31861  399.14425            116.92282  283.47845            117.9234  175.33504            -          -              -          -              -          -              
118.32133  326.33229            117.92216  292.24224            118.93129  260.80713            -          -              -          -              -          -              
119.32406  269.94136            118.9215  231.07599            119.93919  313.99719            -          -              -          -              -          -              
120.32678  87.307906            119.92084  235.21451            120.94708  328.45845            -          -              -          -              -          -              
121.3295  77.989467            120.92018  422.08168            121.95497  284.49195            -          -              -          -              -          -              
122.33223  35.629744            121.91952  413.06199            122.96286  285.32798            -          -              -          -              -          -              
123.33495  70.873016            122.91886  518.40032            123.97075  457.08721            -          -              -          -              -          -              
124.33767  287.73765            123.9182  503.11969            124.97865  439.33209            -          -              -          -              -          -              
125.3404  316.79289            124.91754  566.9786            125.98654  532.97            -          -              -          -              -          -              
126.34312  546.92816            125.91688  540.5706            126.99443  533.79587            -          -              -          -              -          -              
127.34584  567.39487            126.91622  767.63778            128.00232  634.23625            -          -              -          -              -          -              
128.34857  625.78226            127.91556  820.33928            129.01022  645.01915            -          -              -          -              -          -              
129.35129  629.654            128.9149  822.97588            130.01811  697.05423            -          -              -          -              -          -              
130.35401  679.07367            129.91424  836.07272            131.026  712.11041            -          -              -          -              -          -              
131.35674  684.45051            130.91358  723.53987            132.03389  666.42055            -          -              -          -              -          -              
132.35946  632.41803            131.91292  674.36016            133.04179  635.88067            -          -              -          -              -          -              
133.36218  596.53757            132.91226  565.32552            134.04968  566.09265            -          -              -          -              -          -              
134.36491  408.75226            133.91161  446.3131            135.05757  571.37043            -          -              -          -              -          -              
135.36763  300.62555            134.91095  344.04252            136.06546  415.0122            -          -              -          -              -          -              
136.37035  258.3075            135.91029  296.23549            137.07335  339.01288            -          -              -          -              -          -              
